propozitie,cuvant,stadio88,iulia,user,petru,victor,sergiu,stadio88_iulia,stadio88_user,stadio88_petru,stadio88_victor,stadio88_sergiu,iulia_user,iulia_petru,iulia_victor,iulia_sergiu,user_petru,user_victor,user_sergiu,petru_victor,petru_sergiu,victor_sergiu,Agreement,Inter-rater Reliability
"Fonturile  decorative sunt mai potrivite  pentru caractere de afișare (mai mari de 14 puncte), în timp ce caracterele mai simple  sunt mai potrivite pentru text (mai puțin de 14 puncte).",Fonturile,2,4,2,2,2,3,0,1,1,1,0,0,0,0,0,1,1,0,1,0,0,6,
"Fonturile decorative sunt mai potrivite pentru caractere de afișare (mai mari de 14 puncte), în timp ce caracterele mai simple sunt mai potrivite pentru text (mai puțin de 14 puncte).",potrivite,1,4,1,2,1,1,0,1,0,1,1,0,0,0,0,0,1,1,0,0,1,6,
"Fonturile decorative sunt mai potrivite pentru caractere de afișare (mai mari de 14 puncte), în timp ce caracterele mai simple sunt mai potrivite pentru text (mai puțin de 14 puncte).",simple,1,4,1,2,1,1,0,1,0,1,1,0,0,0,0,0,1,1,0,0,1,6,
"În ciuda acestui fapt, putem vedea că există încă o anumită interacțiune între Dumbledore și McGonagall, McGonagall fiind o influență moderată  asupra tuturor părților, în timp ce manifestă o loialitate  fermă  față de Dumbledore.",moderată,2,2,1,3,2,3,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,4,
"În ciuda acestui fapt, putem vedea că există încă o anumită interacțiune între Dumbledore și McGonagall, McGonagall fiind o influență moderată asupra tuturor părților, în timp ce manifestă o loialitate fermă față de Dumbledore.",loialitate,2,4,1,2,2,2,0,0,1,1,1,0,0,0,0,0,0,0,1,1,1,6,
"În ciuda acestui fapt, putem vedea că există încă o anumită interacțiune între Dumbledore și McGonagall, McGonagall fiind o influență moderată asupra tuturor părților, în timp ce manifestă o loialitate fermă față de Dumbledore.",fermă,1,4,1,2,4,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,4,
"Au fost produse drame, comedii  și toate celelalte forme de divertisment , precum și emisiuni  de știri și muzică.",comedii,1,4,1,1,1,1,0,1,1,1,1,0,0,0,0,1,1,1,1,1,1,10,
"Au fost produse drame, comedii și toate celelalte forme de divertisment, precum și emisiuni de știri și muzică.",divertisment,2,4,2,1,2,1,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,4,
"Au fost produse drame, comedii și toate celelalte forme de divertisment, precum și emisiuni de știri și muzică.",emisiuni,1,4,1,2,2,1,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,4,
Scoateți-le prin găurire  folosind o viteză foarte mică de găurire sau utilizați o unealtă  de extragere a șuruburilor pentru șuruburile blocate .,găurire,1,2,1,2,1,1,0,1,0,1,1,0,1,0,0,0,1,1,0,0,1,7,
Scoateți-le prin găurire folosind o viteză foarte mică de găurire sau utilizați o unealtă de extragere a șuruburilor pentru șuruburile blocate.,unealtă,2,2,2,2,1,1,1,1,1,0,0,1,1,0,0,1,0,0,0,0,1,7,
Scoateți-le prin găurire folosind o viteză foarte mică de găurire sau utilizați o unealtă de extragere a șuruburilor pentru șuruburile blocate.,blocate,1,4,1,2,1,1,0,1,0,1,1,0,0,0,0,0,1,1,0,0,1,6,
Fiecare parte și-a determinat noii parteneri  să se alăture  prin oferirea  de concesii teritoriale.,parteneri,1,4,1,2,1,2,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,4,
Fiecare parte și-a determinat noii parteneri să se alăture prin oferirea de concesii teritoriale.,alăture,1,2,1,1,2,1,0,1,1,0,1,0,0,1,0,1,0,1,0,1,0,7,
Fiecare parte și-a determinat noii parteneri să se alăture prin oferirea de concesii teritoriale.,oferirea,1,2,1,2,2,1,0,1,0,0,1,0,1,1,0,0,0,1,1,0,0,6,
"În fiecare an, numărul  de membri  ai acestui club crește, iar nevoia de lideri de grupuri mici, cunoscuți și sub numele de Facilitatori de nucleu, în cămine  crește și ea.",numărul,1,2,1,1,1,1,0,1,1,1,1,0,0,0,0,1,1,1,1,1,1,10,
"În fiecare an, numărul de membri ai acestui club crește, iar nevoia de lideri de grupuri mici, cunoscuți și sub numele de Facilitatori de nucleu, în cămine crește și ea.",membri,1,4,1,2,2,1,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,4,
"În fiecare an, numărul de membri ai acestui club crește, iar nevoia de lideri de grupuri mici, cunoscuți și sub numele de Facilitatori de nucleu, în cămine crește și ea.",cămine,1,4,2,2,2,2,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,6,
"Lentilele cu zoom  motorizate , controlate electronic, sunt amplasate atât pe cameră, cât și pe proiector și sunt sincronizate între ele, astfel încât ambele lentile să mărească împreună și la aceeași distanță focală  în orice moment.",zoom,1,4,1,2,1,4,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,4,
"Lentilele cu zoom motorizate, controlate electronic, sunt amplasate atât pe cameră, cât și pe proiector și sunt sincronizate între ele, astfel încât ambele lentile să mărească împreună și la aceeași distanță focală în orice moment.",motorizate,2,4,4,2,2,3,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,4,
"Lentilele cu zoom motorizate, controlate electronic, sunt amplasate atât pe cameră, cât și pe proiector și sunt sincronizate între ele, astfel încât ambele lentile să mărească împreună și la aceeași distanță focală în orice moment.",focală,4,4,2,2,4,5,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,4,
"Condițiile de mediu, cum ar fi curentul sau gradienții  de temperatură face ca bula  să se separe , determinând formarea a două bule care conțin concentrații similare de materiale.",gradienții,4,4,2,4,4,4,1,0,1,1,1,0,1,1,1,0,0,0,1,1,1,10,
"Condițiile de mediu, cum ar fi curentul sau gradienții de temperatură face ca bula să se separe, determinând formarea a două bule care conțin concentrații similare de materiale.",bula,1,4,1,2,1,1,0,1,0,1,1,0,0,0,0,0,1,1,0,0,1,6,
"Condițiile de mediu, cum ar fi curentul sau gradienții de temperatură face ca bula să se separe, determinând formarea a două bule care conțin concentrații similare de materiale.",separe,2,4,1,2,2,1,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,4,
"Patriot ca întotdeauna, Laurens a continuat  să își servească națiunea ca unul dintre cei trei reprezentanți selectați  pentru a negocia  condițiile la Conferința de pace de la Paris din 1782.",continuat,1,4,1,1,1,1,0,1,1,1,1,0,0,0,0,1,1,1,1,1,1,10,
"Patriot ca întotdeauna, Laurens a continuat să își servească națiunea ca unul dintre cei trei reprezentanți selectați pentru a negocia condițiile la Conferința de pace de la Paris din 1782.",selectați,2,4,1,2,2,1,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,4,
"Patriot ca întotdeauna, Laurens a continuat să își servească națiunea ca unul dintre cei trei reprezentanți selectați pentru a negocia condițiile la Conferința de pace de la Paris din 1782.",negocia,1,4,1,1,2,2,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,4,
Tot ceea ce studiați este conceput pentru a vă pregăti  pentru sinteze organice și alte transformări  chimice efectuate  în laborator.,pregăti,1,2,1,1,2,1,0,1,1,0,1,0,0,1,0,1,0,1,0,1,0,7,
Tot ceea ce studiați este conceput pentru a vă pregăti pentru sinteze organice și alte transformări chimice efectuate în laborator.,transformări,2,4,1,1,2,3,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2,
Tot ceea ce studiați este conceput pentru a vă pregăti pentru sinteze organice și alte transformări chimice efectuate în laborator.,efectuate,2,2,1,1,2,2,1,0,0,1,1,0,0,1,1,1,0,0,0,0,1,7,
Exercițiile și secțiunile de recapitulare contribuie  în mod ideal  la un model de repetiție  conceput.,contribuie,2,2,1,2,2,1,1,0,1,1,0,0,1,1,0,0,0,1,1,0,0,7,
