index_prop	experiment	text	question	response_true	response_distractors
17	local_coherence	Liniile rigide sunt adesea realizate pentru a fi presurizate cu azot sau aer deshidratat, care asigură un dielectric excelent chiar și la temperaturile ridicate generate de mii de wați de energie RF, în special în timpul căldurii intense de vară și a soarelui.	Liniile rigide sunt presurizate cu oxigen?	Nu	Da
18	local_coherence	El crede că ei exprimă aceleași preocupări pe care le simte și el, dar într-un mod diferit, și că este obligat moral să îi tolereze pentru că sunt mai slabi decât el.	El crede că trebuie să îi tolereze pe cei mai slabi?	Da	Nu
19	local_coherence	A avut un dosar de serviciu exemplar și a primit prestigioasa Cruce de Fier, atât de clasa I, cât și de clasa a II-a, și a obținut, de asemenea, gradul de caporal.	A primit Crucea de Fier de clasa a II-a?	Da	Nu
20	local_coherence	De asemenea, a fost responsabil de contrabandă cu droguri și de crime și a mituit atât poliția, cât și politicieni importanți.	A fost implicat în contrabandă și corupție?	Da	Nu
21	local_coherence	O utilizare intensă a spider-ului poate duce la blocarea accesului la site, cu prejudicii, a spider-ului sau a IP-ului dumneavoastră.	O utilizare intensă a spider-ului poate duce la blocarea accesului la site?	Da	Nu
22	local_coherence	Cu toate acestea, dacă programul este un fel de editor care rulează pe un desktop, este posibil să doriți să oferiți operatorului opțiunea de a salva informațiile introduse cu trudă în loc să iasă din program.	Este recomandat să părăsiți programul fără a salva informațiile introduse?	Nu	Da
23	local_coherence	Cu toate acestea, ploile abundente și persistente și furtunile pot provoca inundații și înnămolire a solului, precum și eroziune gravă cauzată de ploi.	Ploile abundente pot provoca doar inundații, fără eroziune?	Nu	Da
24	local_coherence	Cu toate acestea, în general, este necesar să se aplice aceste legi la un volum de control infinitezimal, apoi să se utilizeze ecuațiile diferențiale rezultate.	Este necesar să se aplice legi la un volum de control infinitezimal?	Da	Nu
25	local_coherence	Cu toate acestea, ar trebui să fie clar că diferite lungimi de undă vor suferi interferențe constructive pentru diferite unghiuri de incidență a luminii primite.	Interferențele constructive depind de unghiul de incidență al luminii?	Da	Nu
26	local_coherence	Cu toate acestea, atenuarea nu poate merge decât până la nivelul plasticii sinaptice și corticale a creierului, deoarece gravitatea ADHD depinde în principal de aspectele neurobiologice.	Atenuarea poate depăși nivelul plasticii sinaptice?	Nu	Da
27	local_coherence	Peroxidul de hidrogen se va degrada spontan în apă și oxigen molecular, însă prezența unui catalizator accelerează această reacție până la punctul în care a fost folosit ca sursă de combustibil pentru torpile și chiar pentru nave spațiale.	Peroxidul de hidrogen se degradează în apă și oxigen fără catalizator?	Da	Nu
28	local_coherence	Dacă nu, masați ușor mușchiul înghesuit, puteți încerca, de asemenea, să aplicați gheață.	Este recomandat să aplicați căldură pentru crampe?	Nu	Da
29	local_coherence	Dacă este posibil, găsiți un apicultor din zona dumneavoastră care ar putea fi dispus să vă ghideze sau chiar să vă îndrume în timpul noului dumneavoastră interes.	Este recomandat să găsiți un apicultor pentru îndrumare?	Da	Nu
30	local_coherence	În încercarea de a îmbunătăți acuratețea, armata a angajat un grup mare de matematicieni pentru a calcula continuu ecuațiile diferențiale necesare pentru rezolvarea tabelelor de tragere balistică.	Armata a angajat matematicieni pentru a îmbunătăți acuratețea?	Da	Nu
31	local_coherence	La multe specii anuale, în condiții nefavorabile de uscăciune sau de frig, există doar sămânța.	În condiții nefavorabile, plantele anuale au doar sămânță?	Da	Nu
32	local_coherence	În nordul Europei (nordul Germaniei, Țările de Jos și Franța), clasa de mijloc avea tendința de a fi protestantă, ceea ce corespundea cu etica și filozofia muncii.	Clasa de mijloc din nordul Europei era predominant catolică?	Nu	Da
33	local_coherence	Pentru a obține acest câmp, camera trebuie să fie suficient de reverberantă, iar frecvențele trebuie să fie suficient de înalte pentru a evita efectele modurilor predominante.	Camera trebuie să fie reverberantă pentru a obține câmpul?	Da	Nu
34	local_coherence	În chimia organică, carbonul este utilizat foarte frecvent, astfel încât chimiștii știu că există un atom de carbon la capetele fiecărei linii care nu este etichetată în mod specific.	Carbonul este rar folosit în chimia organică?	Nu	Da
35	local_coherence	În etapa finală, unul dintre hidrogenii moleculei de apă legată este atacat de o altă moleculă de apă, lăsând un alcool.	În etapa finală se formează un alcool?	Da	Nu
36	local_coherence	În aceste cazuri, rolul agentului de punere în aplicare este de a furniza inputurile de bază, inclusiv, dar nu numai, capitalul care va da startul proiectului și îi va permite acestuia să continue sub propriul impuls după plecarea agentului de punere în aplicare.	Agentul de implementare furnizează doar capitalul?	Nu	Da
37	local_coherence	În acest sistem, compușii sunt denumiți prin analogie cu gliceraldehida, ceea ce produce în general denumiri neambigue, dar este cel mai ușor de observat în cazul micilor biomolecule similare gliceraldehidei.	Compușii sunt denumiți prin analogie cu gliceraldehida?	Da	Nu
38	local_coherence	În cadrul conferinței au fost prezentate datele inițiale ale analizei medicamentului pentru boli cardiovasculare simvastatin.	Au fost prezentate date despre simvastatin la conferință?	Da	Nu
39	local_coherence	În schimb, trece imediat la biții de oprire, ceea ce reprezintă o recunoaștere a faptului că verificarea parității la acest nivel este cu adevărat inutilă.	Verificarea parității este utilă la acest nivel?	Nu	Da
40	local_coherence	În loc să vă bazați pe faptul că aceștia au shell-ul potrivit, puteți specifica pur și simplu ce shell ar trebui să folosească.	Este recomandat să specificați shell-ul manual?	Da	Nu
41	local_coherence	Conexiunile intercelulare permit heterocitelor să transporte azotul fixat către celulele vecine și să primească carbohidrați.	Conexiunile intercelulare permit transportul de azot?	Da	Nu
42	local_coherence	Oasele neregulate au forme deosebite, nu pot fi grupate sub capetele precedente și sunt folosite pentru atașarea mușchilor și pentru articulații.	Oasele neregulate sunt folosite pentru atașarea mușchilor?	Da	Nu
43	local_coherence	Adaugă un buton la bara de instrumente de editare din editorul de surse, astfel încât este cel mai convenabil pentru paginile de discuții ale utilizatorilor cu legături roșii, dar poate economisi un clic sau două și în alte cazuri, chiar dacă nu este la fel de rapid ca Twinkle.	Butonul adăugat este mai rapid decât Twinkle?	Nu	Da
44	local_coherence	S-a spus că a trebuit să își croiască drum prin păduri fără urme, ceea ce, fără îndoială, a fost cazul cel puțin în acest oraș.	A trebuit să se deplaseze prin păduri fără urme?	Da	Nu
45	local_coherence	În general, se crede că pilusul este asamblat de la baza sa, deoarece în membrana celulară se găsește o rezervă de pilină.	Pilusul este asamblat de la vârful său?	Nu	Da
46	local_coherence	Este important ca atunci când planificați o lecție de învățare mixtă în clasele primare să vă concentrați pe o unitate de studiu, apoi să o împletiți cu tehnologia.	Lecțiile de învățare mixtă trebuie să se concentreze pe mai multe unități de studiu simultan?	Nu	Da
47	local_coherence	Este utilizat de sistemul imunitar, pentru sinteza ADN-ului, pentru vindecarea rănilor și pentru creșterea și dezvoltarea normală în perioadele cu activitate hormonală.	Este folosit pentru sinteza ADN-ului?	Da	Nu
48	local_coherence	A fost descoperită de goons și de alți vorbitori de engleză și, pentru o vreme, postarea între cele două limbi a înflorit.	Postarea între limbi a înflorit pentru o perioadă?	Da	Nu
49	local_coherence	Vă va duce la pagina care corespunde cererii dumneavoastră, în caz contrar va afișa rezultatele căutării.	Pagina afișează rezultatele căutării dacă nu găsește cererea?	Da	Nu
50	local_coherence	James a fost răsturnat (din punct de vedere tehnic, a fost reținut de Parlament) în Revoluția Glorioasă din 1688, care a avut loc fără vărsare de sânge.	Revoluția Glorioasă s-a petrecut dupa anul 1700?	Nu	Da
51	local_coherence	În cele din urmă, studiul a analizat conversia fosfolipidelor bogate în polinesaturate în triacilgliceride prin intermediul unei căi a fosfolipazei C.	Studiul a analizat conversia fosfolipidelor în triacilgliceride?	Da	Nu
52	local_coherence	Ca și în cazul creării de tablouri fără alocare dinamică, programatorul trebuie să inițializeze tabloul cu valori sensibile înainte de a-l utiliza.	Este necesar să inițializezi tabloul înainte de utilizare?	Da	Nu
53	local_coherence	Poșta este generată intern de către sistemul Postfix însuși, pentru a notifica poștașul despre o problemă (această cale este, de asemenea, indicată cu săgeata fără etichetă).	Poșta este generată de un sistem extern?	Nu	Da
54	local_coherence	Mulți protiști de apă dulce au vacuole contractile care pompează excesul de apă din celulă, menținând astfel o concentrație adecvată de ioni și molecule în interiorul celulei.	Vacuolele contractile elimină excesul de apă din celulă?	Da	Nu
55	local_coherence	Utilizarea modernă a emoticoanelor în discuțiile electronice se datorează, în general, unei propuneri din 1982.	Emoticoanele au fost introduse în anii 2000?	Nu	Da
56	local_coherence	Cele mai multe interogări DNS (cum ar fi cererile de rezolvare a numelui) utilizează conexiuni UDP, deoarece cantitatea de date transferate este mică, iar stabilirea sesiunii ar introduce un trafic și o sarcină inutile asupra serverelor de nume.	Interogările DNS folosesc în principal conexiuni TCP?	Nu	Da
57	local_coherence	Aproape de sfârșitul războiului, Germania încearcă să lupte pentru o ultimă luptă cu Aliații.	Germania a renunțat la luptă la sfârșitul războiului?	Nu	Da
58	local_coherence	Două sau mai multe state nu vor încheia niciun tratat, confederație sau alianță între ele, fără consimțământul Statelor Unite în Congresul reunit, specificând cu exactitate scopurile pentru care se încheie și durata de valabilitate a acestuia.	Statele pot încheia tratate fără consimțământul SUA?	Nu	Da
59	local_coherence	După ce Ron aproape că moare bând hidromel otrăvit, care se pare că era destinat profesorului Dumbledore, Hermione este atât de tulburată, încât pun capăt dușmăniei lor pentru totdeauna.	Hermione a continuat conflictul cu Ron?	Nu	Da
60	local_coherence	Adesea, paginile de discuții ale subiectelor controversate pot fi foarte intens utilizate.	Paginile de discuții sunt rareori utilizate?	Nu	Da
61	local_coherence	Pe partea germană, însă, s-a format un decalaj între cele mai vestice corpuri de armată, iar înaintarea rapidă a epuizat trupele.	Înaintarea rapidă a întărit trupele germane?	Nu	Da
62	local_coherence	Un lucru important de menționat este faptul că caracterele pentru cifre sunt reprezentate diferit de numărul lor corespunzător	Caracterele pentru numerale sunt reprezentate la fel ca numerele?	Nu	Da
63	local_coherence	Chimia organică se concentrează asupra carbonului și urmărește mișcarea electronilor în lanțurile și inelele de carbon, precum și modul în care electronii sunt împărțiți cu alți atomi de carbon și heteroatomi.	Chimia organică se concentrează pe mișcarea electronilor?	Da	Nu
64	local_coherence	După război, Hitler a rămas în armată și, după ce a primit cursuri de informații și oratorie, a devenit ofițer de informații însărcinat cu infiltrarea în partidele politice și cu raportarea către superiorii săi cu privire la activitățile acestora.	Hitler a devenit ofițer de informații după război?	Da	Nu
65	local_coherence	În timp, carnea se înmoaie și își dezvoltă mai mult gustul, iar pentru anumite tipuri de carne acest proces poate fi prelungit cu grijă printr-un proces numit învechire.	Carnea devine mai tare în timp?	Nu	Da
66	local_coherence	Proiectele de lege private afectează o anumită companie, persoană sau altă entitate (de exemplu, autorizarea unor construcții majore pe anumite terenuri publice).	Proiectele de lege private afectează întreaga populație?	Nu	Da
67	local_coherence	Cu dimensiuni variate, de la lacuri de mari dimensiuni și văi închise la iazuri în miniatură, aceste depresiuni au fost lăsate de gheața îngropată care s-a topit în cele din urmă.	Depresiunile sunt create de gheața topită?	Da	Nu
68	local_coherence	Nu uitați că textul va curge și se va înfășura diferit pentru alți utilizatori, în funcție de browserul ales, rezoluția ecranului, dimensiunea implicită a fontului, opțiunile de accesibilitate, numărul de bare de instrumente și bare laterale (cum ar fi panourile de mesagerie instantanee) și altele.	Textul se afișează la fel pentru toți utilizatorii?	Nu	Da
69	local_coherence	Respirația de salvare este utilizată dacă victima nu începe să respire atunci când se deschid căile respiratorii.	Respirația de salvare este folosită doar dacă victima respira deja?	Nu	Da
70	local_coherence	Tampoanele sensibile ale degetelor noastre, folosite ca antene tactile, detectează cea mai mică tresărire, încordare sau ezitare de răspuns.	Tampoanele degetelor detectează doar mișcări mari?	Nu	Da
71	local_coherence	Ea aranjează împrumutul unui reparator de la un concurent, dar între timp organizează un număr mare de oameni cu lanterne într-un sistem manual de semnalizare.	A organizat un sistem de semnalizare automat?	Nu	Da
72	local_coherence	Fusese surprinsă de faptul că Taggart trecuse într-o zi, din senin, prin camera ei de mahala.	Taggart a trecut prin camera ei în mod regulat?	Nu	Da
73	local_coherence	Deoarece majoritatea manualelor sunt elaborate de către sau pe baza contribuțiilor experților în domeniu, această cerință este, de obicei, bine respectată.	Manualele sunt elaborate fără contribuția experților?	Nu	Da
74	local_coherence	Toate celelalte lucruri fiind egale, nucleofilii sunt, în general, comparați între ei în ceea ce privește reactivitatea relativă.	Nucleofilii sunt comparate în funcție de mărime?	Nu	Da
75	local_coherence	Deoarece ideea elementară de funcții este mai bine înțeleasă din punct de vedere clasic, o vom folosi în continuare.	Vor schimba punctul de vedere pentru înțelerea funcților?	Nu	Da
76	local_coherence	Unele dintre aceste variații se referă la comisioane, protecția împotriva descoperirilor de cont, soldurile minime, legăturile permise între conturi (de exemplu, conturi curente și de economii) și regulile de deschidere a contului.	Variațiile se referă doar la comisioane?	Nu	Da
77	local_coherence	Este posibil ca unele părți să nu fie consumate niciodată, iar altele nu sunt procesate în mod normal ca și carne cușer în Statele Unite, din cauza muncii suplimentare pe care o implică.	Toate părțile animalelor sunt consumate în mod normal?	Nu	Da
78	local_coherence	Unii elevi consideră că ablativul este dificil, deoarece uneori seamănă cu nominativul singular, cu dativul plural sau cu niciunul dintre acestea.	Ablativul este întotdeauna ușor de recunoscut?	Nu	Da
79	local_coherence	Oțelurile sunt adesea supuse la o varietate de tratamente termice concepute pentru a produce diverse combinații de faze stabile și metastabile ale fierului.	Tratamentele termice sunt folosite pentru a produce faze stabile și metastabile?	Da	Nu
80	local_coherence	O astfel de cavitate poate oferi numeroase avantaje funcționale.	Cavitățile nu au nicio funcționalitate?	Nu	Da
81	local_coherence	Un astfel de acces ar putea fi utilizat pentru autentificarea la conectare, crearea unui nou cont de utilizator sau salvarea de informații textuale pentru a fi recuperate și studiate în viitor.	Acest tip de acces poate fi folosit pentru autentificare?	Da	Nu
82	local_coherence	Suzuki Pureharp este unul dintre micile modele de producție care folosesc lemnul ca acoperire, ceea ce produce un sunet plăcut de moale.	Modelul Suzuki Pureharp produce un sunet placut?	Da	Nu
83	local_coherence	Romanii, care au folosit inițial acest stil, l-au considerat greoi și greu de manevrat pe terenul muntos și accidentat al Italiei.	Romanii au considerat acest stil ușor de manevrat?	Nu	Da
84	local_coherence	De asemenea, coeficientul de frecare variază foarte mult în funcție de cele două substanțe aflate în contact, precum și de temperatura și netezimea celor două substanțe.	Coeficientul de frecare este întotdeauna același?	Nu	Da
85	local_coherence	Clătirea cu alcool nu îndepărtează cristalul violet care maschează colorantul roșu safanin adăugat.	Clătirea cu alcool elimină cristalul violet?	Nu	Da
86	local_coherence	Unda purtătoare este filtrată, iar un difuzor cântă în funcție de amplitudinea semnalului.	Difuzorul cântă în funcție de frecvența semnalului?	Nu	Da
87	local_coherence	Elementul central al mănăstirii renovate a fost un altar dedicat lui Edward.	Altarul a fost dedicat lui Edward?	Da	Nu
88	local_coherence	Tabloul clasic Playfair este format din patru alfabete, de obicei în aranjament pătrat, două texte în clar și două texte cifrate.	Tabloul Playfair folosește doar trei alfabete?	Nu	Da
89	local_coherence	Lucrarea combinată trebuie să conțină doar un singur exemplar al prezentei licențe, iar secțiunile invariabile multiple și identice pot fi înlocuite cu un singur exemplar.	Lucrarea combinată poate conține mai multe exemplare ale licenței?	Nu	Da
90	local_coherence	Diagnosticul de schizofrenie nu ar trebui pus în prezența unor simptome depresive sau maniacale extinse, cu excepția cazului în care este clar că simptomele schizofrenice sunt anterioare tulburărilor afective.	Diagnosticul de schizofrenie poate fi pus în prezența simptomelor depresive?	Nu	Da
91	local_coherence	Întreaga aplicație asamblată este platforma lor, iar birourile personalului afectat reprezintă domeniul țintă pentru munca lor.	Sunt birourile personalului domeniul țintă al platformei lor?	Da	Nu
92	local_coherence	Vacuola alimentară formată , apoi fuzionează cu un lizozom și digeră alimentele.	Vacuola alimentară digeră alimentele fără a fuziona?	Nu	Da
93	local_coherence	Deși necesită disciplină, este extrem de important să se lucreze sistematic în sens invers în timp, epuizând toate sursele de înregistrări pentru fiecare persoană, înainte de a se ocupa de părinții și bunicii acestora.	Este necesar să se lucreze în ordine cronologică?	Nu	Da
94	local_coherence	Formarea acestui intermediar și reacția ulterioară au, în general, o barieră de energie de activare mult mai mică decât cea necesară pentru reacția directă de transformare a reactanților în produși.	Bariera de energie de activare este mai mare pentru reacția directă?	Da	Nu
95	local_coherence	Chitara este un instrument de transpoziție și este notată cu o octavă mai sus decât înălțimea sa reală pentru a evita utilizarea clapei de bas în notația standard.	Chitara este notată la aceeași înălțime ca și sunetul real?	Nu	Da
96	local_coherence	Senzorul Hall și inductorul utilizează o proprietate a câmpului magnetic pentru a detecta curentul printr-un conductor din apropiere.	Senzorul Hall detectează curentul fără a folosi câmpul magnetic?	Nu	Da
97	local_coherence	Eroul a fost apoi chemat să participe la cel de-al doilea rit, cel al cuceririi, învingându-l pe generalul mercenar Claudius.	Eroul l-a învins pe generalul Claudius?	Da	Nu
98	local_coherence	Analizatorul lexical este partea din compilator care elimină spațiile albe și alte caractere necompilabile din codul sursă.	Analizatorul lexical adaugă caractere în codul sursă?	Nu	Da
99	local_coherence	Principalul motiv pentru care nu se permit mai multe ieșiri cu aceeași intrare este acela că ne permite să aplicăm aceeași funcție la diferite forme ale aceluiași lucru fără a schimba echivalența acestora.	Este permis să ai mai multe ieșiri pentru aceeași intrare?	Nu	Da
100	local_coherence	Majoritatea algelor marine, cum ar fi kelps (alge brune foarte mari din ordinul Laminariales), în ciuda unei aparențe superficiale, nu au tulpini adevărate, frunze, rădăcini și nici un fel de sistem vascular, așa cum se găsește la plantele superioare.	Algele marine au tulpini și frunze adevărate?	Nu	Da
101	local_coherence	A doua zi, în timpul Fajr Salaah, l-a înjunghiat pe Sayyiduna Umar (radi Allahu anhu) de 6 ori în spate, rănindu-l grav pe calif.	Sayyiduna Umar a fost înjunghiat în timpul Fajr Salaah?	Da	Nu
102	local_coherence	Partea nordică a continentului, care acoperă o mare parte din Siberia, era, de asemenea, inaccesibilă nomazilor din stepă din cauza pădurilor dense și a tundrei.	Nomazii puteau accesa cu ușurință Siberia?	Nu	Da
103	local_coherence	Deși unele cadre sunt prevăzute cu trei orificii pentru știfturile de poziționare, unele frâne funcționează doar într-o anumită poziție, așa că, în timpul dezasamblării, trebuie să rețineți ce orificii au fost folosite.	Toate frânele funcționează la fel?	Nu	Da
104	local_coherence	Motivul pentru care leziunile hipotalamice afectează grăsimea corporală și comportamentul alimentar are, de fapt, mult de-a face cu semnalizarea leptinei.	Leziunile hipotalamice nu afectează comportamentul alimentar?	Nu	Da
105	local_coherence	Descrierea configurației relative este încă utilizată în principal în glicochimie.	Descrierea configurației relative este folosită în principal în astronomie?	Nu	Da
106	local_coherence	Același principiu se aplica, desigur, și la reflexul cu un singur obiectiv, dar primele SLR-uri au provocat întârzieri și neplăceri din cauza necesității de a muta oglinda în afara planului focal pentru a permite luminii să ajungă la placa din spatele ei.	Primele SLR-uri au avut probleme de întârziere?	Da	Nu
107	local_coherence	Mărimea razei de aggro variază uneori în funcție de facțiune și de con și poate fi sferică în anumite medii.	Raza de aggro este întotdeauna aceeași?	Nu	Da
108	local_coherence	Teatrul a contribuit cu strigăte dramatice, inclusiv cele ale lui Mary Otis Warren.	Teatrul a contribuit doar cu muzică?	Nu	Da
109	local_coherence	Există, de asemenea, diferite stiluri de editare în sensul cât de îndrăzneți sunt dispuși să fie oamenii.	Toți oamenii folosesc același stil de editare?	Nu	Da
110	local_coherence	Este clar că este nevoie de o structură diferită a cărților, deoarece acestea sunt destinate să fie (cel puțin în cele din urmă) tipărite și, prin urmare, ar trebui să aibă un stil liniar.	Cărțile ar trebui să aibă un stil neliniar?	Nu	Da
111	local_coherence	Există o ușoară tendință de atac din partea opusă a halogenului.	Tendența de atac vine din partea halogenului?	Nu	Da
112	local_coherence	De asemenea, este posibil să existe taxe de licență separate pentru distribuția de formate de date multimedia brevetate, cum ar fi imaginile GIF, care, dacă nu de fapt, cel puțin din punct de vedere filozofic, încalcă principiile GFDL, împiedicându-vă să utilizați liber imaginea sau fotografia.	Taxele de licență afectează utilizarea liberă a imaginilor?	Da	Nu
113	local_coherence	Deși evreii au fost țintele preferate și sunt victimele despre care auzim cel mai des atunci când vorbim despre Holocaust, ei nu au fost singurele victime.	Evreii au fost singurele victime ale Holocaustului?	Nu	Da
114	local_coherence	Prin urmare, indiferent cât de mult argou folosiți în limba dvs. maternă, limitarea utilizării argoului în limba franceză (proporțional cu nivelul dvs. de fluență) va limita, de asemenea, cât de mult sunteți tratat cu condescendență și râsul de către ascultătorii nativi.	Utilizarea argoului în franceză influențează modul cum sunteți tratat?	Da	Nu
115	local_coherence	Acestea sunt, în principal, linii directoare privind comportamentul administratorilor, dar pot fi utile atunci când aveți un litigiu serios cu administratorii sau când vă adresați comisarilor și unei comisii de arbitraj.	Liniile directoare sunt utile doar pentru litigiile minore?	Nu	Da
116	local_coherence	Aceste stiluri de pachete nu se descurcă bine împotriva pachetelor cu orice tip de dezorganizare sau control, așa că în prezent nu văd prea mult joc.	Stilurile de pachete se descurcă bine împotriva dezorganizării?	Nu	Da
117	local_coherence	Aceste diagrame trebuie interpretate ca niște hărți topografice, unde liniile reprezintă curbe de nivel constante.	Liniile din diagrame reprezintă curbe cu nivele diferite?	Nu	Da
118	local_coherence	În general, le este mai bine să își folosească Ne-ul, precum și capacitățile de raționament ale lui Ti, pentru a afla adevărul, decât să se bazeze pe tradițiile Si.	Este mai bine să se bazeze pe tradițiile Si?	Nu	Da
119	local_coherence	Acestea transformă energia solară în energie chimică prin absorbția luminii solare și utilizarea acesteia pentru a stimula sinteza compușilor organici, cum ar fi zahărul, din dioxid de carbon și apă.	Energia solară este transformată în energie nucleară?	Nu	Da
120	local_coherence	Ei au lăsat în urmă o profeție conform căreia lumea se va sfârși la 21 decembrie 2012 și va avea loc cel de-al cincilea ciclu al lumii.	Profeția spunea că lumea se va sfârși în 2012?	Da	Nu
121	local_coherence	Au produs peste 90% din filmele de ficțiune din America și și-au distribuit filmele atât la nivel național, cât și internațional.	Au produs mai puțin de 90% din filmele de ficțiune?	Nu	Da
122	local_coherence	Printre aceste tehnologii se număra fisiunea nucleară, care constă în divizarea unui atom foarte electronegativ în atomi mai mici și care produce o energie de zece ori mai mare.	Fisiunea nucleară produce energie prin fuziunea atomilor?	Nu	Da
123	local_coherence	Aceasta include predarea, practica generală a medicinei, cercetarea medicală, domeniile religioase, antreprenoriatul, munca misionară, munca socială, dezvoltarea comunitară, artele creative, actoria, radiodifuziunea, consultanța, coaching-ul, formarea corporatistă, relațiile publice, consilierea, publicitatea și marketingul.	Aceasta include doar domeniile religioase?	Nu	Da
124	local_coherence	Acest lucru este foarte, foarte diferit de modelele pasive de citire a textului într-o manieră liniară de mare viteză, care se aseamănă cu încercarea de a forța creierul să găsească un sens la o mie de gloanțe care trec cu viteză.	Modelele pasive de citire sunt eficiente pentru înțelegere?	Nu	Da
125	local_coherence	Aceasta este doar una dintre numeroasele realizări ale ingineriei care ne-au permis să cuantificăm și să înțelegem gena umană și modul în care aceasta este legată de nutriție.	Ingineria a contribuit la înțelegerea genei umane?	Da	Nu
126	local_coherence	Această problemă a agitat teologii și filozofii timp de secole și nu a fost niciodată rezolvată în mod satisfăcător.	Problema a fost rezolvată într-un mod satisfăcător?	Nu	Da
127	local_coherence	Deși Harry va deveni o excepție, există un alt elev, de asemenea orfan și vrăjitor talentat, căruia Dumbledore i-a acordat și el o atenție sporită, deși nu în același mod ca în cazul lui Harry.	Dumbledore s-a concentrat doar asupra lui Harry?	Nu	Da
128	local_coherence	Un alfabet ingenios le-a permis mayașilor să înregistreze informații pe monumentele și templele lor, oferindu-le antropologilor o modalitate excelentă de a afla mai multe despre viața și cultura mayașă.	Mayașii scriau informații pe monumente?	Da	Nu
129	local_coherence	Pentru a atenua problemele de indexare, expresia sizeof() este utilizată în mod obișnuit la codificarea buclelor care procesează array-uri.	Expresia sizeof() este folosită pentru a rezolva probleme de indexare?	Da	Nu
130	local_coherence	A trăi complet în acest mod într-o societate urbanizată și industrială înseamnă a te retrage la periferie.	Trăitul în acest mod înseamnă a te integra în centrul societății?	Nu	Da
131	local_coherence	Pentru a se familiariza cu demonstrația matematică și, de asemenea, cu unele concepte matematice de bază, cititorii pot citi wikibook Demonstrație matematică.	Wikibook-ul este util pentru învățarea demonstrațiilor matematice?	Da	Nu
132	local_coherence	Până la începutul secolului al XIX-lea, naturaliștii și oamenii de știință au observat diferențe esențiale între compușii care proveneau din ființe vii și cei care nu proveneau din ființe vii.	Naturaliștii au observat diferențe între compușii vii și cei nevii?	Da	Nu
